Sentence,SIGN GLOSSES
what time is it now,WHAT TIME NOW
it is seven thirty,TIME SEVEN THIRTY
wake up early tomorrow,TOMORROW WAKE UP EARLY
i sleep at ten at night,I SLEEP TEN NIGHT
breakfast is ready,BREAKFAST READY
i brush my teeth,I BRUSH TEETH
i take a bath in the morning,I BATH MORNING
i come home by six,I COME HOME SIX
dinner is at eight,DINNER EIGHT
i read at night,I READ NIGHT
i am going to the market,I GO MARKET
buy vegetables and fruits,BUY VEGETABLES FRUITS
how much does this cost,THIS COST HOW MUCH
this is very expensive,THIS VERY EXPENSIVE
give me a discount,GIVE ME DISCOUNT
do you have a smaller size,YOU HAVE SMALL SIZE
i want to pay by cash,I PAY CASH
wrap it properly,WRAP PROPERLY
this colour does not suit me,THIS COLOUR NOT SUIT ME
i will come back tomorrow,I COME BACK TOMORROW
my mother is cooking,MY MOTHER COOK
the food smells good,FOOD SMELL GOOD
add more salt,ADD MORE SALT
the rice is not cooked well,RICE NOT COOK WELL
i like spicy food,I LIKE SPICY FOOD
can i have more,I HAVE MORE
this is very sweet,THIS VERY SWEET
the milk is hot,MILK HOT
wash the dishes,WASH DISHES
cut the vegetables,CUT VEGETABLES
let us eat together,WE EAT TOGETHER
i am full,I FULL
i am thirsty,I THIRSTY
give me a glass of water,GIVE ME GLASS WATER
the tea is cold,TEA COLD
heat the food,HEAT FOOD
do not waste food,NOT WASTE FOOD
i want bread and butter,I WANT BREAD BUTTER
make tea for everyone,MAKE TEA EVERYONE
where is the bus stop,WHERE BUS STOP
the train is late,TRAIN LATE
i missed my bus,I MISS BUS
book a ticket for me,BOOK TICKET ME
which platform is it,WHICH PLATFORM
the flight is on time,FLIGHT ON TIME
i need a taxi,I NEED TAXI
how far is the station,STATION HOW FAR
turn left at the signal,TURN LEFT SIGNAL
go straight and then right,GO STRAIGHT THEN RIGHT
the road is blocked,ROAD BLOCKED
there is heavy traffic,TRAFFIC HEAVY
park the car here,PARK CAR HERE
fill the petrol,FILL PETROL
my cycle has a puncture,MY CYCLE PUNCTURE
i will walk to the office,I WALK OFFICE
the auto is not available,AUTO NOT AVAILABLE
the metro is crowded,METRO CROWDED
i want a window seat,I WANT WINDOW SEAT
drop me at the corner,DROP ME CORNER
i am going to office,I GO OFFICE
my boss called a meeting,BOSS CALL MEETING
submit the report today,SUBMIT REPORT TODAY
i have a presentation tomorrow,I HAVE PRESENTATION TOMORROW
the internet is slow,INTERNET SLOW
my laptop is not working,MY LAPTOP NOT WORK
print these documents,PRINT DOCUMENTS
reply to the email,REPLY EMAIL
the meeting is cancelled,MEETING CANCEL
i got a promotion,I GET PROMOTION
my salary was credited,MY SALARY CREDIT
i took a leave today,I TAKE LEAVE TODAY
office will be closed tomorrow,OFFICE CLOSE TOMORROW
i am working from home,I WORK HOME
call me after lunch,CALL ME AFTER LUNCH
i have a deadline today,I HAVE DEADLINE TODAY
the project is complete,PROJECT COMPLETE
my colleague is absent,MY COLLEAGUE ABSENT
sign this document,SIGN DOCUMENT
my father is a farmer,MY FATHER FARMER
my mother is a teacher,MY MOTHER TEACHER
my brother is older than me,MY BROTHER OLDER ME
my sister is in college,MY SISTER IN COLLEGE
i have two children,I HAVE TWO CHILDREN
my grandmother is unwell,MY GRANDMOTHER UNWELL
my grandfather is very old,MY GRANDFATHER VERY OLD
this is my aunt,THIS MY AUNT
my uncle lives in mumbai,MY UNCLE LIVE MUMBAI
we are a big family,WE BIG FAMILY
my parents are in the village,MY PARENTS VILLAGE
my husband is a doctor,MY HUSBAND DOCTOR
my wife is at home,MY WIFE HOME
our baby is six months old,OUR BABY SIX MONTH OLD
i miss my family,I MISS MY FAMILY
she is my elder sister,SHE MY ELDER SISTER
he is my younger brother,HE MY YOUNGER BROTHER
our family eats together,OUR FAMILY EAT TOGETHER
my cousin is getting married,MY COUSIN GET MARRIED
we live on the third floor,WE LIVE THIRD FLOOR
i am happy today,I HAPPY TODAY
i am very sad,I VERY SAD
i feel lonely,I FEEL LONELY
i am nervous,I NERVOUS
i am excited,I EXCITED
i am embarrassed,I EMBARRASS
i am jealous,I JEALOUS
i feel proud,I FEEL PROUD
i am confused,I CONFUSE
i am shocked,I SHOCK
i feel peaceful here,I FEEL PEACEFUL HERE
i am in a good mood,I GOOD MOOD
stop making me angry,STOP MAKE ME ANGRY
i am disappointed in you,I DISAPPOINT YOU
you made me feel bad,YOU MAKE ME FEEL BAD
i am grateful to you,I GRATEFUL YOU
she looks upset,SHE LOOK UPSET
he is very arrogant,HE VERY ARROGANT
cheer up,CHEER UP
do not be sad,NOT BE SAD
today is my birthday,TODAY MY BIRTHDAY
happy birthday to you,HAPPY BIRTHDAY YOU
we are going to a party,WE GO PARTY
the function starts at five,FUNCTION START FIVE
i bought a gift for her,I BUY GIFT HER
decorate the room,DECORATE ROOM
invite everyone,INVITE EVERYONE
the wedding is next month,WEDDING NEXT MONTH
the cake was very tasty,CAKE VERY TASTY
i danced at the function,I DANCE FUNCTION
where is the bathroom,WHERE BATHROOM
lock the door,LOCK DOOR
switch on the fan,SWITCH ON FAN
switch off the light,SWITCH OFF LIGHT
the water is not coming,WATER NOT COME
clean the room,CLEAN ROOM
the floor is wet,FLOOR WET
open the window,OPEN WINDOW
close the door,CLOSE DOOR
my phone is charging,MY PHONE CHARGE
the electricity is gone,ELECTRICITY GONE
bring the chair,BRING CHAIR
put it on the table,PUT TABLE
the sofa is comfortable,SOFA COMFORTABLE
iron my clothes,IRON MY CLOTHES
wash the clothes,WASH CLOTHES
dry the clothes outside,DRY CLOTHES OUTSIDE
put the luggage inside,PUT LUGGAGE INSIDE
my bag is heavy,MY BAG HEAVY
where are my keys,WHERE MY KEYS
i like to play cricket,I LIKE PLAY CRICKET
let us play football,WE PLAY FOOTBALL
i go to the gym daily,I GO GYM DAILY
i like swimming,I LIKE SWIM
my team won the match,MY TEAM WIN MATCH
the match starts at four,MATCH START FOUR
i jog every morning,I JOG EVERY MORNING
yoga is good for health,YOGA GOOD HEALTH
i play chess,I PLAY CHESS
i like watching sports,I LIKE WATCH SPORTS
do you like cricket,YOU LIKE CRICKET
he is a good player,HE GOOD PLAYER
the score is tied,SCORE TIED
we lost the game,WE LOSE GAME
practice every day,PRACTICE EVERY DAY
i want to watch a movie,I WANT WATCH MOVIE
what is on television tonight,TELEVISION TONIGHT WHAT
i like reading books,I LIKE READ BOOK
this song is nice,THIS SONG NICE
i play the guitar,I PLAY GUITAR
let us go for a walk,WE GO WALK
i enjoy painting,I ENJOY PAINT
take a photograph,TAKE PHOTOGRAPH
i like travelling,I LIKE TRAVEL
let us watch the sunset,WE WATCH SUNSET
this film is very interesting,THIS FILM VERY INTERESTING
i am learning a new language,I LEARN NEW LANGUAGE
i like to cook new dishes,I LIKE COOK NEW DISHES
can you teach me,YOU TEACH ME
do you have a hobby,YOU HAVE HOBBY
where do you want to go,YOU WANT GO WHERE
let us plan a trip,WE PLAN TRIP
i want to visit goa,I WANT VISIT GOA
book a hotel for two nights,BOOK HOTEL TWO NIGHT
carry an umbrella,CARRY UMBRELLA
the journey is long,JOURNEY LONG
we will leave in the morning,WE LEAVE MORNING
pack your bags,PACK YOUR BAGS
the place is very peaceful,PLACE VERY PEACEFUL
take a rest during the trip,REST DURING TRIP
have you visited delhi,YOU VISIT DELHI
i went to mumbai last year,I GO MUMBAI LAST YEAR
the hotel room is small,HOTEL ROOM SMALL
the view is beautiful,VIEW BEAUTIFUL
i want to go home,I WANT GO HOME
please be quiet,PLEASE QUIET
speak clearly,SPEAK CLEAR
do not shout,NOT SHOUT
sit down please,SIT DOWN PLEASE
stand up,STAND UP
come here,COME HERE
wait here,WAIT HERE
go outside,GO OUTSIDE
be careful,BE CAREFUL
do it slowly,DO SLOWLY
hurry up,HURRY UP
stop right there,STOP THERE
follow me,FOLLOW ME
listen carefully,LISTEN CAREFULLY
pay attention,PAY ATTENTION
do not disturb me,NOT DISTURB ME
leave me alone,LEAVE ME ALONE
look at me,LOOK ME
be honest,BE HONEST
one two three four five,ONE TWO THREE FOUR FIVE
six seven eight nine ten,SIX SEVEN EIGHT NINE TEN
i am twenty years old,I TWENTY YEAR OLD
give me fifty rupees,GIVE ME FIFTY RUPEE
it costs two hundred rupees,COST TWO HUNDRED RUPEE
i have one thousand rupees,I HAVE THOUSAND RUPEE
five people came,FIVE PEOPLE COME
today is the third,TODAY THIRD
meet me at nine,MEET ME NINE
i waited for one hour,I WAIT ONE HOUR
monday is a holiday,MONDAY HOLIDAY
i will come on friday,I COME FRIDAY
see you next sunday,SEE YOU NEXT SUNDAY
the month of january is cold,JANUARY COLD
last year was good,LAST YEAR GOOD
three days left,THREE DAY LEFT
call me at eight pm,CALL ME EIGHT EVENING
the meeting is for thirty minutes,MEETING THIRTY MINUTE
this happened two weeks ago,THIS HAPPEN TWO WEEK BEFORE
i was born in april,I BORN APRIL
are you free now,YOU FREE NOW
can we meet tomorrow,WE MEET TOMORROW
let us talk later,WE TALK LATER
i will call you back,I CALL YOU BACK
where were you yesterday,WHERE YOU YESTERDAY
i was at home,I HOME
what will you do on sunday,SUNDAY YOU DO WHAT
when did you come,YOU COME WHEN
how long will this take,THIS TAKE HOW LONG
i will finish by evening,I FINISH EVENING
is this your bag,THIS YOUR BAG
whose book is this,THIS BOOK WHOSE
this belongs to me,THIS BELONG ME
this is not mine,THIS NOT MINE
did you take my pen,YOU TAKE MY PEN
return my book,RETURN MY BOOK
keep your things properly,KEEP YOUR THINGS PROPERLY
i lost my wallet,I LOSE MY WALLET
someone stole my phone,SOMEONE STEAL MY PHONE
i found it,I FIND IT
can you help me with this,YOU HELP ME THIS
i need your support,I NEED YOUR SUPPORT
thank you for everything,THANK YOU EVERYTHING
you are very kind,YOU VERY KIND
i will not forget this,I NOT FORGET THIS
you have done a lot for me,YOU DO LOT ME
i owe you one,I OWE YOU
please forgive me,PLEASE FORGIVE ME
it was my mistake,MY MISTAKE
i should not have done that,I NOT SHOULD DO THAT
i apologise,I APOLOGISE
no problem at all,NO PROBLEM
forget it,FORGET IT
let us move on,WE MOVE ON
everything will be fine,EVERYTHING FINE
trust me,TRUST ME
do you understand,YOU UNDERSTAND
say it again,SAY AGAIN
i did not hear you,I NOT HEAR YOU
speak into the microphone,SPEAK MICROPHONE
the signal is weak,SIGNAL WEAK
can you see me,YOU SEE ME
zoom in,ZOOM IN
the screen is frozen,SCREEN FROZEN
restart the device,RESTART DEVICE
the battery is low,BATTERY LOW
charge your phone,CHARGE YOUR PHONE
download the application,DOWNLOAD APPLICATION
the password is wrong,PASSWORD WRONG
connect to wifi,CONNECT WIFI
share your location,SHARE YOUR LOCATION
send me the file,SEND ME FILE
update the software,UPDATE SOFTWARE
delete this message,DELETE MESSAGE
open the camera,OPEN CAMERA
take a screenshot,TAKE SCREENSHOT
he is my best friend,HE MY BEST FRIEND
she is very smart,SHE VERY SMART
he lies a lot,HE LIE LOT
she is always late,SHE ALWAYS LATE
they helped me a lot,THEY HELP ME LOT
i trust him completely,I TRUST HIM COMPLETE
she is very talented,SHE VERY TALENTED
do not talk to him,NOT TALK HIM
he does not listen,HE NOT LISTEN
she is very caring,SHE VERY CARING
they are good people,THEY GOOD PEOPLE
i met him yesterday,I MEET HIM YESTERDAY
she called me in the morning,SHE CALL ME MORNING
ask him to come,ASK HIM COME
tell her the truth,TELL HER TRUTH
i like animals,I LIKE ANIMALS
my dog is very friendly,MY DOG VERY FRIENDLY
the cat is sleeping,CAT SLEEP
feed the birds,FEED BIRDS
the cow gives milk,COW GIVE MILK
there is a snake on the road,SNAKE ON ROAD
i am scared of dogs,I SCARED DOG
the fish is in the pond,FISH IN POND
the elephant is very big,ELEPHANT VERY BIG
do not touch the animal,NOT TOUCH ANIMAL
plant a tree,PLANT TREE
the flowers are blooming,FLOWER BLOOM
water the plants,WATER PLANTS
the mango tree is big,MANGO TREE BIG
collect the fallen leaves,COLLECT FALLEN LEAVES
the garden is very green,GARDEN VERY GREEN
fruits are good for health,FRUIT GOOD HEALTH
this plant needs sunlight,PLANT NEED SUNLIGHT
cut the grass,CUT GRASS
the forest is very dense,FOREST VERY DENSE
save water,SAVE WATER
do not pollute the river,NOT POLLUTE RIVER
plant more trees,PLANT MORE TREES
stop burning plastic,STOP BURN PLASTIC
switch off lights when not needed,SWITCH OFF LIGHT NOT NEED
use less electricity,USE LESS ELECTRICITY
recycle waste,RECYCLE WASTE
keep the city clean,KEEP CITY CLEAN
protect the environment,PROTECT ENVIRONMENT
global warming is increasing,GLOBAL WARMING INCREASE
vote for a good leader,VOTE GOOD LEADER
respect the law,RESPECT LAW
pay your taxes,PAY YOUR TAXES
this is a government scheme,THIS GOVERNMENT SCHEME
apply for the job,APPLY JOB
fill the form carefully,FILL FORM CAREFULLY
submit the documents,SUBMIT DOCUMENTS
the deadline is friday,DEADLINE FRIDAY
i got the approval,I GET APPROVAL
go to the bank,GO BANK
open an account,OPEN ACCOUNT
withdraw money,WITHDRAW MONEY
deposit cash,DEPOSIT CASH
check your balance,CHECK YOUR BALANCE
my card is blocked,MY CARD BLOCKED
i need a loan,I NEED LOAN
pay the bill,PAY BILL
the interest rate is high,INTEREST RATE HIGH
sign the cheque,SIGN CHEQUE
what do you want to eat,YOU WANT EAT WHAT
i will make dal and rice,I MAKE DAL RICE
chop the onions,CHOP ONIONS
the oil is hot,OIL HOT
stir the curry,STIR CURRY
add some water,ADD SOME WATER
the chapati is ready,CHAPATI READY
keep the gas on low,GAS LOW
do not burn the food,NOT BURN FOOD
taste this and tell me,TASTE THIS TELL ME
the idli is soft,IDLI SOFT
i want samosa,I WANT SAMOSA
the biryani smells amazing,BIRYANI SMELL AMAZING
bring the lunch box,BRING LUNCH BOX
this is very oily,THIS VERY OILY
put the food in the fridge,PUT FOOD FRIDGE
heat it before eating,HEAT BEFORE EAT
the pickle is sour,PICKLE SOUR
i like sweets,I LIKE SWEETS
do you want coffee,YOU WANT COFFEE
i am in class ten,I CLASS TEN
which board are you in,YOU WHICH BOARD
cbse or state board,CBSE OR STATE BOARD
i want to become an engineer,I WANT BECOME ENGINEER
i like science and maths,I LIKE SCIENCE MATHS
coaching starts at six,COACHING START SIX
my marks improved,MY MARKS IMPROVE
revision is important,REVISION IMPORTANT
study with concentration,STUDY CONCENTRATION
ask your teacher for help,ASK TEACHER HELP
i did not understand the chapter,I NOT UNDERSTAND CHAPTER
take notes in class,TAKE NOTES CLASS
the exam is for one hundred marks,EXAM HUNDRED MARKS
i scored ninety out of hundred,I SCORE NINETY HUNDRED
results are out,RESULTS OUT
i got first rank,I GET FIRST RANK
scholarship interview is tomorrow,SCHOLARSHIP INTERVIEW TOMORROW
i want to study abroad,I WANT STUDY ABROAD
admission is open,ADMISSION OPEN
i wake up at six,I WAKE UP SIX
i go for a run,I GO RUN
after running i do yoga,AFTER RUN I DO YOGA
i have breakfast at seven,I BREAKFAST SEVEN
i leave home at eight,I LEAVE HOME EIGHT
i reach office at nine,I REACH OFFICE NINE
i have lunch at one,I LUNCH ONE
i leave office at six,I LEAVE OFFICE SIX
i come home and freshen up,I COME HOME FRESHEN UP
i have dinner at eight,I DINNER EIGHT
i watch tv for some time,I WATCH TV SOME TIME
i sleep by ten thirty,I SLEEP TEN THIRTY
weekends i rest at home,WEEKEND I REST HOME
sunday i visit temple,SUNDAY I VISIT TEMPLE
i call my parents daily,I CALL MY PARENTS DAILY
what is your name,WHAT YOUR NAME
where do you live,YOU LIVE WHERE
how many people in your family,YOUR FAMILY HOW MANY PEOPLE
what is your qualification,YOUR QUALIFICATION WHAT
do you have a job,YOU HAVE JOB
what do you do for work,YOU DO WHAT WORK
are you married,YOU MARRIED
how old is your child,YOUR CHILD HOW OLD
do you have any siblings,YOU HAVE SIBLINGS
where is your hometown,YOUR HOMETOWN WHERE
which language do you speak,YOU SPEAK WHICH LANGUAGE
can you sign,YOU CAN SIGN
do you know hindi,YOU KNOW HINDI
are you from here,YOU FROM HERE
what is your religion,YOUR RELIGION WHAT
be brave,BE BRAVE
do not give up,NOT GIVE UP
believe in yourself,BELIEVE YOURSELF
work hard,WORK HARD
stay positive,STAY POSITIVE
you can achieve it,YOU ACHIEVE IT
never lose hope,NEVER LOSE HOPE
help others,HELP OTHERS
be respectful,BE RESPECTFUL
think before you speak,THINK BEFORE SPEAK
be punctual,BE PUNCTUAL
keep your promise,KEEP YOUR PROMISE
do not waste time,NOT WASTE TIME
learn from mistakes,LEARN MISTAKES
share with others,SHARE OTHERS
is the food vegetarian,FOOD VEGETARIAN
i am vegetarian,I VEGETARIAN
no onion no garlic,NO ONION NO GARLIC
i have a nut allergy,I HAVE NUT ALLERGY
give me a mild dish,GIVE ME MILD DISH
this food is too salty,FOOD TOO SALTY
i want extra spice,I WANT EXTRA SPICE
the portion is small,PORTION SMALL
pack the leftovers,PACK LEFTOVERS
get the bill please,GET BILL PLEASE
did you check the forecast,YOU CHECK FORECAST
wear a raincoat today,WEAR RAINCOAT TODAY
take a jacket it is cold,TAKE JACKET COLD
the humidity is very high,HUMIDITY VERY HIGH
monsoon started early this year,MONSOON START EARLY THIS YEAR
there was a storm last night,STORM LAST NIGHT
the drought affected the crop,DROUGHT AFFECT CROP
flood warning in the area,FLOOD WARNING AREA
the air quality is poor,AIR QUALITY POOR
drink boiled water today,DRINK BOILED WATER TODAY
there is an emergency,EMERGENCY
call the police,CALL POLICE
call the ambulance,CALL AMBULANCE
fire in the building,FIRE BUILDING
everyone evacuate,EVERYONE EVACUATE
do not panic,NOT PANIC
i need help urgently,I NEED HELP URGENT
the child is missing,CHILD MISSING
block the road,BLOCK ROAD
first aid box is needed,FIRST AID BOX NEED
this is not right,THIS NOT RIGHT
i will complain,I WILL COMPLAIN
you should be ashamed,YOU SHOULD ASHAME
stop cheating,STOP CHEAT
give back what you took,GIVE BACK WHAT YOU TAKE
you are wrong,YOU WRONG
that is not fair,THAT NOT FAIR
he is blaming me falsely,HE BLAME ME FALSE
stand up for yourself,STAND UP YOURSELF
do not bully others,NOT BULLY OTHERS
switch to dark mode,SWITCH DARK MODE
the app is not loading,APP NOT LOAD
clear the cache,CLEAR CACHE
back up your data,BACKUP YOUR DATA
the link is broken,LINK BROKEN
share the screen,SHARE SCREEN
mute yourself,MUTE YOURSELF
turn on the camera,TURN ON CAMERA
the call got disconnected,CALL DISCONNECT
i will message you,I MESSAGE YOU
have you eaten,YOU EAT
did you sleep well,YOU SLEEP WELL
feeling better now,FEEL BETTER NOW
are you comfortable,YOU COMFORTABLE
need anything,NEED ANYTHING
come and sit with me,COME SIT WITH ME
i am here with you,I HERE WITH YOU
do not worry i am there,NOT WORRY I THERE
let us pray together,WE PRAY TOGETHER
god will help,GOD WILL HELP
she passed away,SHE PASS AWAY
my condolences,MY CONDOLENCES
be strong,BE STRONG
time heals everything,TIME HEAL EVERYTHING
i am with you always,I WITH YOU ALWAYS
today is republic day,TODAY REPUBLIC DAY
india is a great country,INDIA GREAT COUNTRY
respect the national flag,RESPECT NATIONAL FLAG
sing the national anthem,SING NATIONAL ANTHEM
our soldiers are brave,OUR SOLDIERS BRAVE
vote for your rights,VOTE YOUR RIGHTS
unity is our strength,UNITY OUR STRENGTH
education is important,EDUCATION IMPORTANT
every child deserves school,EVERY CHILD DESERVE SCHOOL
help the poor,HELP POOR
what is the news today,NEWS TODAY WHAT
did you watch the match,YOU WATCH MATCH
the election results are out,ELECTION RESULTS OUT
there was an accident nearby,ACCIDENT NEARBY
a new hospital is opening,NEW HOSPITAL OPEN
the prices have increased,PRICES INCREASE
the government announced a scheme,GOVERNMENT ANNOUNCE SCHEME
there is a strike today,STRIKE TODAY
schools are closed due to rain,SCHOOL CLOSE RAIN
new year is coming,NEW YEAR COMING
i want to buy a house,I WANT BUY HOUSE
we are shifting to a new place,WE SHIFT NEW PLACE
the rent is too high,RENT TOO HIGH
the house has three rooms,HOUSE THREE ROOM
the locality is good,LOCALITY GOOD
there is a park nearby,PARK NEARBY
is there a hospital close,HOSPITAL CLOSE
the neighbours are friendly,NEIGHBOUR FRIENDLY
we have a terrace,WE HAVE TERRACE
the building has a lift,BUILDING HAVE LIFT
i want to learn sign language,I WANT LEARN SIGN LANGUAGE
deaf people are intelligent,DEAF PEOPLE INTELLIGENT
include deaf children in school,INCLUDE DEAF CHILDREN SCHOOL
use sign language with me,USE SIGN LANGUAGE ME
i understand sign language,I UNDERSTAND SIGN LANGUAGE
sign language is a real language,SIGN LANGUAGE REAL LANGUAGE
we need more sign interpreters,WE NEED MORE SIGN INTERPRETER
respect the deaf community,RESPECT DEAF COMMUNITY
accessibility is a right,ACCESSIBILITY RIGHT
learn to communicate with everyone,LEARN COMMUNICATE EVERYONE
my phone is lost,MY PHONE LOST
i need a new sim card,I NEED NEW SIM CARD
the network is not working,NETWORK NOT WORK
recharge my phone,RECHARGE MY PHONE
call me on whatsapp,CALL ME WHATSAPP
i will send you a photo,I SEND YOU PHOTO
save my number,SAVE MY NUMBER
do not share my number,NOT SHARE MY NUMBER
the phone is ringing,PHONE RING
pick up the call,PICK UP CALL
he is not answering,HE NOT ANSWER
leave a voicemail,LEAVE VOICEMAIL
the line is busy,LINE BUSY
i will call you in five minutes,I CALL YOU FIVE MINUTE
my data is finished,MY DATA FINISH
enable bluetooth,ENABLE BLUETOOTH
connect the headphones,CONNECT HEADPHONES
the speaker is not working,SPEAKER NOT WORK
increase the volume,INCREASE VOLUME
decrease the volume,DECREASE VOLUME
take me to the nearest hospital,TAKE ME NEAREST HOSPITAL
i need a wheelchair,I NEED WHEELCHAIR
i am hard of hearing,I HARD HEARING
i need a sign interpreter,I NEED SIGN INTERPRETER
my hearing aid is broken,MY HEARING AID BROKEN
i use cochlear implant,I USE COCHLEAR IMPLANT
write it down for me,WRITE DOWN ME
show me with gestures,SHOW ME GESTURE
speak slowly and clearly,SPEAK SLOW CLEAR
can you face me when speaking,YOU FACE ME SPEAK
i am in a hurry,I HURRY
wait for me outside,WAIT ME OUTSIDE
i will be five minutes late,I FIVE MINUTE LATE
save a seat for me,SAVE SEAT ME
the queue is very long,QUEUE VERY LONG
take a number and wait,TAKE NUMBER WAIT
your turn is next,YOUR TURN NEXT
the counter is closed,COUNTER CLOSE
go to window three,GO WINDOW THREE
fill this form first,FILL FORM FIRST
where is the post office,WHERE POST OFFICE
i want to send a parcel,I WANT SEND PARCEL
how much is the postage,POSTAGE HOW MUCH
register this letter,REGISTER LETTER
the parcel has not arrived,PARCEL NOT ARRIVE
track the delivery,TRACK DELIVERY
it will arrive in three days,ARRIVE THREE DAY
sign here for the delivery,SIGN HERE DELIVERY
someone will pick it up,SOMEONE PICK UP
the address is wrong,ADDRESS WRONG
i need a plumber,I NEED PLUMBER
the tap is leaking,TAP LEAK
the drain is blocked,DRAIN BLOCKED
the ceiling is cracked,CEILING CRACK
the wall needs painting,WALL NEED PAINT
call the electrician,CALL ELECTRICIAN
the switch is not working,SWITCH NOT WORK
fix the door lock,FIX DOOR LOCK
the window glass broke,WINDOW GLASS BREAK
clean the water tank,CLEAN WATER TANK
i am learning to drive,I LEARN DRIVE
i have a driving licence,I HAVE DRIVING LICENCE
the car needs service,CAR NEED SERVICE
check the tyre pressure,CHECK TYRE PRESSURE
the engine is overheating,ENGINE OVERHEAT
fill the coolant,FILL COOLANT
the brake is not working,BRAKE NOT WORK
i had a minor accident,I HAVE MINOR ACCIDENT
call the mechanic,CALL MECHANIC
the car battery is dead,CAR BATTERY DEAD
do you sell organic food,YOU SELL ORGANIC FOOD
i want fresh vegetables,I WANT FRESH VEGETABLES
is this today's stock,THIS TODAY STOCK
give me one kilo of tomatoes,GIVE ME ONE KILO TOMATO
how much for half kilo,HALF KILO HOW MUCH
the mango is ripe,MANGO RIPE
these apples are sour,THESE APPLE SOUR
i will take two bunches,I TAKE TWO BUNCH
keep it in a bag,KEEP BAG
i come here every week,I COME HERE EVERY WEEK
today is a working day,TODAY WORKING DAY
it is a public holiday,PUBLIC HOLIDAY
office reopens on monday,OFFICE REOPEN MONDAY
the strike is called off,STRIKE CALL OFF
the festival is tomorrow,FESTIVAL TOMORROW
celebrate with family,CELEBRATE FAMILY
light the diyas,LIGHT DIYA
wear traditional dress,WEAR TRADITIONAL DRESS
give sweets to everyone,GIVE SWEETS EVERYONE
which temple is nearby,WHICH TEMPLE NEARBY
i go to mosque on friday,I GO MOSQUE FRIDAY
today is a fast,TODAY FAST
pray in the morning,PRAY MORNING
respect all religions,RESPECT ALL RELIGION
i believe in god,I BELIEVE GOD
the pooja starts at seven,POOJA START SEVEN
ring the bell,RING BELL
offer flowers,OFFER FLOWERS
seek blessings of elders,SEEK BLESSINGS ELDERS
i scored good marks,I SCORE GOOD MARKS
i need tuition,I NEED TUITION
which subject is difficult,WHICH SUBJECT DIFFICULT
i like group study,I LIKE GROUP STUDY
make notes from the chapter,MAKE NOTES CHAPTER
highlight important points,HIGHLIGHT IMPORTANT POINTS
read the summary,READ SUMMARY
solve last year papers,SOLVE LAST YEAR PAPERS
check your answers,CHECK YOUR ANSWERS
the results will come next week,RESULTS COME NEXT WEEK
i got admission,I GET ADMISSION
college starts in june,COLLEGE START JUNE
i need a bus pass,I NEED BUS PASS
the hostel fee is high,HOSTEL FEE HIGH
i live in a pg,I LIVE PG
my roommate is friendly,MY ROOMMATE FRIENDLY
the canteen food is good,CANTEEN FOOD GOOD
i have a seminar tomorrow,I HAVE SEMINAR TOMORROW
the library closes at nine,LIBRARY CLOSE NINE
attendance is mandatory,ATTENDANCE MANDATORY
i want a glass of juice,I WANT GLASS JUICE
bring two cups of tea,BRING TWO CUP TEA
do you have cold drinks,YOU HAVE COLD DRINK
one bottle of water please,ONE BOTTLE WATER PLEASE
